"TIME","GEO","AGE","SEX","INDIC_IL","UNIT","Value","Flag and Footnotes"
"2016","European Union - 28 countries (2013-2020)","Total","Total","Median equivalised net income","Euro","16,531",""
"2016","European Union - 28 countries (2013-2020)","Total","Males","Median equivalised net income","Euro","16,920",""
"2016","European Union - 28 countries (2013-2020)","Total","Females","Median equivalised net income","Euro","16,149",""
"2016","European Union - 28 countries (2013-2020)","Less than 18 years","Total","Median equivalised net income","Euro","15,496",""
"2016","European Union - 28 countries (2013-2020)","Less than 18 years","Males","Median equivalised net income","Euro","15,642",""
"2016","European Union - 28 countries (2013-2020)","Less than 18 years","Females","Median equivalised net income","Euro","15,345",""
"2016","European Union - 28 countries (2013-2020)","From 18 to 24 years","Total","Median equivalised net income","Euro","15,425",""
"2016","European Union - 28 countries (2013-2020)","From 18 to 24 years","Males","Median equivalised net income","Euro","15,739",""
"2016","European Union - 28 countries (2013-2020)","From 18 to 24 years","Females","Median equivalised net income","Euro","15,042",""
"2016","European Union - 28 countries (2013-2020)","From 25 to 49 years","Total","Median equivalised net income","Euro","17,187",""
"2016","European Union - 28 countries (2013-2020)","From 25 to 49 years","Males","Median equivalised net income","Euro","17,486",""
"2016","European Union - 28 countries (2013-2020)","From 25 to 49 years","Females","Median equivalised net income","Euro","16,866",""
"2016","European Union - 28 countries (2013-2020)","From 50 to 64 years","Total","Median equivalised net income","Euro","18,171",""
"2016","European Union - 28 countries (2013-2020)","From 50 to 64 years","Males","Median equivalised net income","Euro","18,452",""
"2016","European Union - 28 countries (2013-2020)","From 50 to 64 years","Females","Median equivalised net income","Euro","17,910",""
"2016","European Union - 28 countries (2013-2020)","65 years or over","Total","Median equivalised net income","Euro","15,562",""
"2016","European Union - 28 countries (2013-2020)","65 years or over","Males","Median equivalised net income","Euro","16,564",""
"2016","European Union - 28 countries (2013-2020)","65 years or over","Females","Median equivalised net income","Euro","14,787",""
"2016","Belgium","Total","Total","Median equivalised net income","Euro","22,295",""
"2016","Belgium","Total","Males","Median equivalised net income","Euro","23,178",""
"2016","Belgium","Total","Females","Median equivalised net income","Euro","21,526",""
"2016","Belgium","Less than 18 years","Total","Median equivalised net income","Euro","22,434",""
"2016","Belgium","Less than 18 years","Males","Median equivalised net income","Euro","23,171",""
"2016","Belgium","Less than 18 years","Females","Median equivalised net income","Euro","21,821",""
"2016","Belgium","From 18 to 24 years","Total","Median equivalised net income","Euro","21,219",""
"2016","Belgium","From 18 to 24 years","Males","Median equivalised net income","Euro","22,097",""
"2016","Belgium","From 18 to 24 years","Females","Median equivalised net income","Euro","20,493",""
"2016","Belgium","From 25 to 49 years","Total","Median equivalised net income","Euro","24,968",""
"2016","Belgium","From 25 to 49 years","Males","Median equivalised net income","Euro","25,488",""
"2016","Belgium","From 25 to 49 years","Females","Median equivalised net income","Euro","24,339",""
"2016","Belgium","From 50 to 64 years","Total","Median equivalised net income","Euro","23,689",""
"2016","Belgium","From 50 to 64 years","Males","Median equivalised net income","Euro","24,386",""
"2016","Belgium","From 50 to 64 years","Females","Median equivalised net income","Euro","23,129",""
"2016","Belgium","65 years or over","Total","Median equivalised net income","Euro","18,021",""
"2016","Belgium","65 years or over","Males","Median equivalised net income","Euro","18,726",""
"2016","Belgium","65 years or over","Females","Median equivalised net income","Euro","17,418",""
"2016","Bulgaria","Total","Total","Median equivalised net income","Euro","3,151","b"
"2016","Bulgaria","Total","Males","Median equivalised net income","Euro","3,249","b"
"2016","Bulgaria","Total","Females","Median equivalised net income","Euro","3,043","b"
"2016","Bulgaria","Less than 18 years","Total","Median equivalised net income","Euro","2,804","b"
"2016","Bulgaria","Less than 18 years","Males","Median equivalised net income","Euro","2,848","b"
"2016","Bulgaria","Less than 18 years","Females","Median equivalised net income","Euro","2,779","b"
"2016","Bulgaria","From 18 to 24 years","Total","Median equivalised net income","Euro","2,890","b"
"2016","Bulgaria","From 18 to 24 years","Males","Median equivalised net income","Euro","2,796","b"
"2016","Bulgaria","From 18 to 24 years","Females","Median equivalised net income","Euro","3,043","b"
"2016","Bulgaria","From 25 to 49 years","Total","Median equivalised net income","Euro","3,411","b"
"2016","Bulgaria","From 25 to 49 years","Males","Median equivalised net income","Euro","3,418","b"
"2016","Bulgaria","From 25 to 49 years","Females","Median equivalised net income","Euro","3,406","b"
"2016","Bulgaria","From 50 to 64 years","Total","Median equivalised net income","Euro","3,768","b"
"2016","Bulgaria","From 50 to 64 years","Males","Median equivalised net income","Euro","3,839","b"
"2016","Bulgaria","From 50 to 64 years","Females","Median equivalised net income","Euro","3,720","b"
"2016","Bulgaria","65 years or over","Total","Median equivalised net income","Euro","2,649","b"
"2016","Bulgaria","65 years or over","Males","Median equivalised net income","Euro","2,906","b"
"2016","Bulgaria","65 years or over","Females","Median equivalised net income","Euro","2,438","b"
"2016","Czechia","Total","Total","Median equivalised net income","Euro","7,838",""
"2016","Czechia","Total","Males","Median equivalised net income","Euro","8,110",""
"2016","Czechia","Total","Females","Median equivalised net income","Euro","7,624",""
"2016","Czechia","Less than 18 years","Total","Median equivalised net income","Euro","7,572",""
"2016","Czechia","Less than 18 years","Males","Median equivalised net income","Euro","7,517",""
"2016","Czechia","Less than 18 years","Females","Median equivalised net income","Euro","7,661",""
"2016","Czechia","From 18 to 24 years","Total","Median equivalised net income","Euro","8,004",""
"2016","Czechia","From 18 to 24 years","Males","Median equivalised net income","Euro","8,315",""
"2016","Czechia","From 18 to 24 years","Females","Median equivalised net income","Euro","7,624",""
"2016","Czechia","From 25 to 49 years","Total","Median equivalised net income","Euro","8,658",""
"2016","Czechia","From 25 to 49 years","Males","Median equivalised net income","Euro","8,745",""
"2016","Czechia","From 25 to 49 years","Females","Median equivalised net income","Euro","8,493",""
"2016","Czechia","From 50 to 64 years","Total","Median equivalised net income","Euro","8,467",""
"2016","Czechia","From 50 to 64 years","Males","Median equivalised net income","Euro","8,719",""
"2016","Czechia","From 50 to 64 years","Females","Median equivalised net income","Euro","8,231",""
"2016","Czechia","65 years or over","Total","Median equivalised net income","Euro","6,554",""
"2016","Czechia","65 years or over","Males","Median equivalised net income","Euro","6,793",""
"2016","Czechia","65 years or over","Females","Median equivalised net income","Euro","6,384",""
"2016","Denmark","Total","Total","Median equivalised net income","Euro","28,665",""
"2016","Denmark","Total","Males","Median equivalised net income","Euro","29,555",""
"2016","Denmark","Total","Females","Median equivalised net income","Euro","27,941",""
"2016","Denmark","Less than 18 years","Total","Median equivalised net income","Euro","29,863",""
"2016","Denmark","Less than 18 years","Males","Median equivalised net income","Euro","30,395",""
"2016","Denmark","Less than 18 years","Females","Median equivalised net income","Euro","29,289",""
"2016","Denmark","From 18 to 24 years","Total","Median equivalised net income","Euro","20,754",""
"2016","Denmark","From 18 to 24 years","Males","Median equivalised net income","Euro","23,794",""
"2016","Denmark","From 18 to 24 years","Females","Median equivalised net income","Euro","18,854",""
"2016","Denmark","From 25 to 49 years","Total","Median equivalised net income","Euro","30,895",""
"2016","Denmark","From 25 to 49 years","Males","Median equivalised net income","Euro","31,128",""
"2016","Denmark","From 25 to 49 years","Females","Median equivalised net income","Euro","30,676",""
"2016","Denmark","From 50 to 64 years","Total","Median equivalised net income","Euro","34,369",""
"2016","Denmark","From 50 to 64 years","Males","Median equivalised net income","Euro","35,094",""
"2016","Denmark","From 50 to 64 years","Females","Median equivalised net income","Euro","33,715",""
"2016","Denmark","65 years or over","Total","Median equivalised net income","Euro","22,845",""
"2016","Denmark","65 years or over","Males","Median equivalised net income","Euro","23,615",""
"2016","Denmark","65 years or over","Females","Median equivalised net income","Euro","22,445",""
